"","st_id","female","ethniccode_cat","firstgen","international","transfer","lowincomeflag","numgrade","cum_prior_gpa","gpao","crs_name","crs_section","admit_gpa","n_section"
"1","f958",1,0,0,0,0,0,4,3.66,3.85,"BIO300",201801,4.27,730
"2","5485",0,0,1,0,1,0,4,3.82,3.76,"BIO300",201701,3.67,624
"3","605d",1,0,0,0,0,0,3.7,3.46,3.34,"MATH100",201701,3.95,475
"4","e94d",1,1,1,0,1,1,2.7,NA,3.28,"MATH100",201610,3.44,908
"5","ea5b",0,2,0,0,0,0,3.3,3.74,3.79,"BIO300",201703,4.04,665
"6","a695",0,2,1,0,1,0,3,2.43,3.09,"EVOL305",201610,3.46,173
"7","c909",1,1,1,0,0,1,2.3,3.12,2.83,"EVOL305",201803,4.04,268
"8","fbdc",0,2,1,0,0,1,2.7,2.16,2.76,"EVOL305",201903,4,233
"9","e819",1,0,0,0,0,0,4,3.71,3.85,"MATH100",201701,4.36,475
"10","0518",0,2,1,0,0,1,1.7,2.57,1.7,"BIO300",201703,3.9,665
"11","1ea5",1,2,1,0,1,0,3.3,2.74,2.7,"MATH100",201703,3.68,537
"12","d49c",0,0,1,0,0,0,0,2.44,0.87,"EVOL305",201810,4.14,321
"13","35fe",0,0,0,0,0,0,4,4,4,"MATH100",201610,4.33,908
"14","b854",0,2,0,0,0,1,2.7,3.16,3,"MATH100",201701,4.19,475
"15","84f8",1,2,0,0,0,0,4,4,3.78,"MATH100",201710,4.11,935
"16","b669",1,2,1,0,0,0,3,2.35,2.92,"MATH100",201701,3.7,475
"17","e1c3",1,2,0,0,0,0,3.3,3.43,3.34,"MATH100",201710,4.05,935
"18","7b0d",0,1,1,1,0,1,1.3,2.44,2.29,"CHEM201",201610,4,155
"19","53c6",0,1,1,0,0,1,0,2.9,2.2,"MATH100",201610,3.92,908
"20","b4b2",1,1,1,0,0,1,1.3,2.51,2.67,"BIO300",201801,4,730
"21","e2c1",1,0,1,0,0,0,4,3.52,4,"EVOL305",201710,4.33,255
"22","73dc",1,2,0,0,0,0,2,2.73,1.7,"BIO300",201703,4.19,665
"23","b5c7",1,2,0,0,0,0,3,2.71,3.29,"MATH100",201803,4.09,584
"24","6fb9",1,0,0,0,1,1,2.7,2.6,2.99,"EVOL305",201610,3.34,173
"25","14c6",1,2,1,0,0,1,4,3.53,4,"MATH100",201901,4.29,575
"26","853a",0,1,0,0,0,0,2.3,2.26,3.2,"EVOL305",201801,4,233
"27","30f6",0,0,1,0,1,0,1.7,2.91,3.66,"BIO300",201910,3.1,642
"28","317a",1,1,1,0,1,1,1,NA,2,"BIO300",201610,3.45,652
"29","525c",0,2,1,0,1,1,3,NA,3.06,"MATH100",201610,3.54,908
"30","9999",1,0,1,0,0,1,2,2.42,2.25,"MATH100",201801,3.95,539
"31","cc99",1,2,0,1,0,0,2,3.03,2.77,"BIO300",201703,4.11,665
"32","5cd0",0,2,1,0,0,0,3.7,3.82,3.99,"MATH100",201701,4.05,475
"33","d488",1,0,1,0,1,0,2.7,2.8,3.15,"EVOL305",201703,3.31,193
"34","128f",1,0,0,0,0,0,2,3,2.9,"MATH100",201701,4,475
"35","ccde",0,1,0,0,0,0,3.7,3.73,3.99,"MATH100",201901,3.72,575
"36","c2b4",1,2,1,0,1,1,2,2.59,1.44,"EVOL305",201903,3.48,233
"37","68e0",1,0,1,0,0,0,2,2.35,2.25,"EVOL305",201703,4.04,193
"38","137c",1,0,0,0,0,0,4,3.27,4,"MATH100",201703,4.15,537
"39","dfaf",1,1,0,0,1,1,4,4,3.85,"BIO300",201701,4,624
"40","9a79",1,0,1,0,1,1,3,3.11,3.86,"BIO300",201903,3.14,575
"41","dec1",1,1,1,0,0,1,4,3.12,3.31,"BIO300",201701,3.95,624
"42","71d6",1,0,1,0,1,0,1.7,2.71,2.99,"EVOL305",201610,2.99,173
"43","7535",1,1,0,0,0,0,2.3,2.91,3.37,"BIO300",201901,4.18,818
"44","7e41",1,2,0,0,1,0,2.7,3.06,NA,"EVOL305",201903,2.83,233
"45","a822",1,0,1,0,1,1,3,NA,2.9,"CHEM201",201910,3.4,143
"46","cb7e",0,0,0,0,1,0,2.7,NA,3.83,"MATH100",201810,3.46,884
"47","7554",1,0,0,0,1,1,2.3,3.23,2.14,"BIO300",201810,3.74,664
"48","05f5",1,2,0,1,0,0,3.7,3.37,2.86,"MATH100",201910,4.36,1005
"49","6560",1,2,0,0,0,0,2.3,2.71,2.7,"BIO300",201903,4.08,575
"50","6894",1,2,1,0,0,1,2.7,3.27,3.19,"MATH100",201701,4.2,475
