"","ANONID","SUBJECT","CATALOG_NBR","GRD_PTS_PER_UNIT","GPAO","DIV","ANON_INSTR_ID","TERM"
"1",57,"BIOLOGY",105,4,2.667816092,"S",1614,102
"2",120,"BIOLOGY",105,2.7,3.206976744,"S",1614,93
"3",192,"BIOLOGY",105,4,4,"S",1614,102
"4",217,"BIOLOGY",105,2.7,2.592,"S",1614,110
"5",223,"BIOLOGY",105,3.7,2.982051282,"S",4392,114
"6",271,"BIOLOGY",105,2.7,3.530434783,"S",1614,102
"7",278,"BIOLOGY",105,4,3.388636364,"S",1614,98
"8",447,"BIOLOGY",105,4,3.283333333,"S",1614,118
"9",543,"BIOLOGY",105,3,3.697101449,"S",1614,118
"10",637,"BIOLOGY",105,3.3,3.256097561,"S",1614,118
"11",659,"BIOLOGY",105,3.7,3.517777778,"S",1614,102
"12",737,"BIOLOGY",105,3,2.97961165,"S",1614,98
"13",806,"BIOLOGY",105,3.7,3.135483871,"S",4392,114
"14",1052,"BIOLOGY",105,0,2.435294118,"S",1614,93
"15",1131,"BIOLOGY",105,4,2.917241379,"S",1614,102
"16",1164,"BIOLOGY",105,3,3,"S",1614,78
"17",1178,"BIOLOGY",105,2.7,2.719178082,"S",1614,93
"18",1259,"BIOLOGY",105,4,3.048717949,"S",1614,118
"19",1500,"BIOLOGY",105,3,2.595,"S",1614,78
"20",1689,"BIOLOGY",105,3,2.905769231,"S",1614,102
"21",1749,"BIOLOGY",105,2,1.862857143,"S",1614,107
"22",1797,"BIOLOGY",105,4,3.391176471,"S",1614,107
"23",1876,"BIOLOGY",105,3,3.229577465,"S",1614,98
"24",1927,"BIOLOGY",105,2.7,2.969565217,"S",1614,88
"25",2120,"BIOLOGY",105,4,3.784210526,"S",1614,88
"26",2218,"BIOLOGY",105,3,3.179487179,"S",1614,107
"27",2236,"BIOLOGY",105,2.7,2,"S",1614,118
"28",2451,"BIOLOGY",105,3.3,3.511805556,"S",1614,102
"29",2516,"BIOLOGY",105,3.7,3.72,"S",1614,110
"30",2546,"BIOLOGY",105,3,2.630882353,"S",1614,88
"31",2601,"BIOLOGY",105,2.7,2.612121212,"S",1614,107
"32",2862,"BIOLOGY",105,4,3.890909091,"S",1614,110
"33",2991,"BIOLOGY",105,4,3.678723404,"S",1614,107
"34",3213,"BIOLOGY",105,3.7,3.762222222,"S",1614,88
"35",3215,"BIOLOGY",105,4,3.56031746,"S",1614,102
"36",3463,"BIOLOGY",105,3,3.17875,"S",1614,118
"37",3472,"BIOLOGY",105,3,3.098648649,"S",4392,114
"38",3567,"BIOLOGY",105,4,3.323076923,"S",1614,107
"39",3605,"BIOLOGY",105,3,3.109756098,"S",1614,107
"40",3701,"BIOLOGY",105,3,3.407142857,"S",1614,98
"41",3722,"BIOLOGY",105,4,3.391176471,"S",1614,98
"42",3790,"BIOLOGY",105,4,3.890909091,"S",1614,110
"43",3810,"BIOLOGY",105,3,2.643421053,"S",1614,98
"44",4147,"BIOLOGY",105,3,3.185294118,"S",1614,107
"45",4183,"BIOLOGY",105,2.7,2.994520548,"S",1614,107
"46",4388,"BIOLOGY",105,4,3.573684211,"S",1614,110
"47",4480,"BIOLOGY",105,3,2.948181818,"S",1614,107
"48",4993,"BIOLOGY",105,3,2.85,"S",1614,118
"49",5004,"BIOLOGY",105,4,3.806451613,"S",1614,78
"50",5052,"BIOLOGY",105,4,3.565048544,"S",1614,102
"51",5122,"BIOLOGY",105,2.7,2.592,"S",1614,110
"52",5133,"BIOLOGY",105,3,3.58,"S",1614,107
"53",5166,"BIOLOGY",105,3,3.007407407,"S",1614,110
"54",5383,"BIOLOGY",105,3.7,3.141428571,"S",1614,93
"55",5439,"BIOLOGY",105,4,3.613888889,"S",1614,110
"56",5539,"BIOLOGY",105,3,3.01980198,"S",1614,118
"57",5700,"BIOLOGY",105,2.7,2.613333333,"S",1614,110
"58",6126,"BIOLOGY",105,3,3.508695652,"S",1614,107
"59",6206,"BIOLOGY",105,4,3.941558442,"S",1614,93
"60",6245,"BIOLOGY",105,2.7,2.529545455,"S",1614,118
"61",6307,"BIOLOGY",105,3,2.382352941,"S",1614,98
"62",6459,"BIOLOGY",105,4,3.326666667,"S",1614,98
"63",6508,"BIOLOGY",105,3.7,3.239090909,"S",1614,110
"64",6623,"BIOLOGY",105,4,3.807291667,"S",1614,102
"65",6740,"BIOLOGY",105,3,3.384536082,"S",1614,118
"66",7249,"BIOLOGY",105,4,3.697101449,"S",1614,110
"67",7282,"BIOLOGY",105,3.7,3.187654321,"S",1614,78
"68",7330,"BIOLOGY",105,4,3.788235294,"S",1614,107
"69",7523,"BIOLOGY",105,0,2.4,"S",1614,107
"70",7590,"BIOLOGY",105,4,3.575609756,"S",1614,102
"71",7605,"BIOLOGY",105,4,3.24,"S",1614,102
"72",7685,"BIOLOGY",105,3,3.195652174,"S",1614,102
"73",7792,"BIOLOGY",105,4,3.427586207,"S",1614,88
"74",7846,"BIOLOGY",105,4,3.890909091,"S",1614,107
"75",7964,"BIOLOGY",105,3.3,3.391891892,"S",4392,114
"76",7973,"BIOLOGY",105,3,3.434090909,"S",1614,88
"77",7979,"BIOLOGY",105,2.7,3.007575758,"S",1614,98
"78",8022,"BIOLOGY",105,3.3,2.744444444,"S",1614,93
"79",8115,"BIOLOGY",105,2.7,2.435294118,"S",1614,110
"80",8134,"BIOLOGY",105,2.7,2.918421053,"S",1614,102
"81",8169,"BIOLOGY",105,4,3.75952381,"S",1614,110
"82",8174,"BIOLOGY",105,3,3.381818182,"S",1614,102
"83",8262,"BIOLOGY",105,3.7,2.818181818,"S",3604,73
"84",8395,"BIOLOGY",105,3,2.863636364,"S",1614,107
"85",8397,"BIOLOGY",105,4,3.624793388,"S",1614,107
"86",8564,"BIOLOGY",105,3,3.291891892,"S",1614,93
"87",8657,"BIOLOGY",105,3,3.16031746,"S",1614,110
"88",8810,"BIOLOGY",105,4,3.876744186,"S",1614,107
"89",8873,"BIOLOGY",105,2.7,2.533333333,"S",1614,93
"90",8897,"BIOLOGY",105,4,4,"S",1614,118
"91",8918,"BIOLOGY",105,4,3.945454545,"S",1614,110
"92",8971,"BIOLOGY",105,0,3.726213592,"S",1614,110
"93",8977,"BIOLOGY",105,3.3,3.383809524,"S",1614,93
"94",9006,"BIOLOGY",105,3.3,3.256818182,"S",1614,118
"95",9113,"BIOLOGY",105,2.7,3.052941176,"S",1614,98
"96",9360,"BIOLOGY",105,2.7,2.214285714,"S",1614,102
"97",9427,"BIOLOGY",105,3,3.109756098,"S",1614,118
"98",9577,"BIOLOGY",105,3,3.407142857,"S",1614,110
"99",9963,"BIOLOGY",105,4,3.749579832,"S",1614,93
"100",10450,"BIOLOGY",105,3.3,3.135483871,"S",1614,88
"101",10779,"BIOLOGY",105,4,3.529787234,"S",1614,118
"102",11098,"BIOLOGY",105,3.3,3.233333333,"S",1614,118
"103",11236,"BIOLOGY",105,4,3.878861789,"S",1614,93
"104",11489,"BIOLOGY",105,3.7,3.613888889,"S",1614,88
"105",11620,"BIOLOGY",105,4,3.783333333,"S",1614,110
"106",11640,"BIOLOGY",105,3,3.220289855,"S",1614,93
"107",11659,"BIOLOGY",105,3,3.348837209,"S",3604,73
"108",11815,"BIOLOGY",105,3,3.456790123,"S",1614,93
"109",11894,"BIOLOGY",105,3.7,3.422018349,"S",1614,93
"110",11923,"BIOLOGY",105,2.7,3.317142857,"S",1614,110
"111",11968,"BIOLOGY",105,3.7,3.743589744,"S",4392,114
"112",12135,"BIOLOGY",105,4,3.24,"S",1614,102
"113",12212,"BIOLOGY",105,4,3.277358491,"S",1614,118
"114",12249,"BIOLOGY",105,3.3,3.187912088,"S",1614,78
"115",12390,"BIOLOGY",105,3,2.767741935,"S",1614,110
"116",12404,"BIOLOGY",105,4,3.863963964,"S",1614,107
"117",12427,"BIOLOGY",105,3.7,3.133333333,"S",1614,110
"118",12562,"BIOLOGY",105,4,3.84,"S",1614,107
"119",13063,"BIOLOGY",105,3.7,3.381818182,"S",1614,98
"120",13443,"BIOLOGY",105,3,3.127777778,"S",1614,88
"121",13614,"BIOLOGY",105,2.7,3.154411765,"S",1614,110
"122",13765,"BIOLOGY",105,3,2.831578947,"S",1614,102
"123",13777,"BIOLOGY",105,3,3.061038961,"S",1614,107
"124",14350,"BIOLOGY",105,3,3.496428571,"S",1614,118
"125",14793,"BIOLOGY",105,4,3.562376238,"S",1614,110
"126",14861,"BIOLOGY",105,4,3.890909091,"S",1614,118
"127",14924,"BIOLOGY",105,3.7,3.563461538,"S",1614,118
"128",14971,"BIOLOGY",105,3,3.1,"S",1614,88
"129",15137,"BIOLOGY",105,3,3.11119403,"S",1614,98
"130",15196,"BIOLOGY",105,3.3,3.004651163,"S",1614,110
"131",15247,"BIOLOGY",105,4,3.033333333,"S",1614,118
"132",15267,"BIOLOGY",105,3,3.282142857,"S",1614,78
"133",15431,"BIOLOGY",105,4,3.767058824,"S",1614,110
"134",15448,"BIOLOGY",105,4,3.638888889,"S",1614,110
"135",15542,"BIOLOGY",105,2.7,2.335185185,"S",1614,107
"136",15548,"BIOLOGY",105,4,3.67027027,"S",4392,114
"137",15565,"BIOLOGY",105,4,3.578947368,"S",1614,102
"138",15854,"BIOLOGY",105,4,3.187912088,"S",1614,107
"139",15902,"BIOLOGY",105,4,3.968421053,"S",1614,93
"140",15953,"BIOLOGY",105,4,3.629545455,"S",1614,88
"141",16001,"BIOLOGY",105,4,3.335074627,"S",1614,98
"142",16013,"BIOLOGY",105,3,3.02,"S",1614,118
"143",16032,"BIOLOGY",105,2.7,2.523809524,"S",1614,110
"144",16087,"BIOLOGY",105,3,2.618181818,"S",1614,88
"145",16101,"BIOLOGY",105,4,3.447619048,"S",1614,88
"146",16203,"BIOLOGY",105,4,3.7,"S",4392,114
"147",16234,"BIOLOGY",105,3.7,3.560526316,"S",4392,114
"148",16349,"BIOLOGY",105,3,3.352631579,"S",1614,98
"149",16553,"BIOLOGY",105,3,3.380701754,"S",1614,107
"150",16617,"BIOLOGY",105,4,2.984375,"S",1614,98
"151",16759,"BIOLOGY",105,4,3.854545455,"S",1614,118
"152",16809,"BIOLOGY",105,4,3.588571429,"S",1614,98
"153",16837,"BIOLOGY",105,4,3.835,"S",4392,114
"154",16911,"BIOLOGY",105,4,3.695238095,"S",1614,118
"155",17283,"BIOLOGY",105,3,2.995081967,"S",4392,114
"156",17430,"BIOLOGY",105,3,2.799242424,"S",1614,93
"157",17619,"BIOLOGY",105,3.3,3.088095238,"S",3604,73
"158",17643,"BIOLOGY",105,2.7,3.211267606,"S",1614,93
"159",17738,"BIOLOGY",105,3.7,3.232258065,"S",1614,102
"160",17841,"BIOLOGY",105,3,3,"S",1614,93
"161",17963,"BIOLOGY",105,4,3.878861789,"S",1614,93
"162",17996,"BIOLOGY",105,4,3.725925926,"S",1614,102
"163",18031,"BIOLOGY",105,3.7,3.325,"S",1614,98
"164",18448,"BIOLOGY",105,3,2.89047619,"S",3604,73
"165",18481,"BIOLOGY",105,3,3.183783784,"S",1614,107
"166",18671,"BIOLOGY",105,3.3,2.878571429,"S",1614,118
"167",18736,"BIOLOGY",105,3.7,3.499019608,"S",1614,110
"168",18843,"BIOLOGY",105,3,3.207894737,"S",1614,88
"169",18867,"BIOLOGY",105,3,2.598214286,"S",1614,78
"170",18950,"BIOLOGY",105,4,3.608163265,"S",1614,107
"171",18961,"BIOLOGY",105,3.3,3.375862069,"S",4392,114
"172",19010,"BIOLOGY",105,3.3,2.807692308,"S",1614,110
"173",19015,"BIOLOGY",105,3,3.509756098,"S",1614,118
"174",19107,"BIOLOGY",105,3,3.294285714,"S",1614,118
"175",19322,"BIOLOGY",105,0,2.312820513,"S",1614,78
"176",19407,"BIOLOGY",105,3.3,3.434210526,"S",4392,114
"177",19418,"BIOLOGY",105,2,2.129787234,"S",1614,78
"178",19532,"BIOLOGY",105,4,3.33,"S",1614,110
"179",19534,"BIOLOGY",105,2,2.445454545,"S",1614,110
"180",19945,"BIOLOGY",105,3.3,3.087654321,"S",4392,114
"181",20007,"BIOLOGY",105,4,3.154761905,"S",1614,88
"182",20054,"BIOLOGY",105,3.7,3.892957746,"S",1614,98
"183",20092,"BIOLOGY",105,3,3.331818182,"S",1614,88
"184",20209,"BIOLOGY",105,3.3,2.897368421,"S",1614,102
"185",20274,"BIOLOGY",105,3.3,3.5308,"S",1614,98
"186",20437,"BIOLOGY",105,4,3.636363636,"S",1614,107
"187",20852,"BIOLOGY",105,3,3.280508475,"S",1614,93
"188",21040,"BIOLOGY",105,2,2.700847458,"S",4392,114
